query_name,plan_size,true_cost,compass_est,psql_est,plan
13a_19,6,5792562.600000001,15832.0,19247.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_2,6,5791676.600000001,15832.0,19067.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_20,6,5791778.600000001,15832.0,19089.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_21,6,5792496.600000001,15832.0,19221.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_22,6,5791526.600000001,15832.0,19045.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_23,6,5791632.600000001,15832.0,19057.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_24,6,5792582.600000001,15832.0,19249.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_25,6,5791716.600000001,15832.0,19075.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_26,6,5791530.600000001,15832.0,19065.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_27,6,5792038.600000001,15832.0,19149.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_28,6,5792138.600000001,15832.0,19149.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_29,6,5792216.600000001,15832.0,19181.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_3,6,5792252.600000001,15832.0,19159.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_30,6,5791678.600000001,15832.0,19077.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_31,6,5791854.600000001,15832.0,19121.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_32,6,5791936.600000001,15832.0,19111.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_33,6,5791672.600000001,15832.0,19075.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_34,6,5791914.600000001,15832.0,19123.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_35,6,5792174.600000001,15832.0,19147.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_36,6,5791838.600000001,15832.0,19097.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_37,6,5791624.600000001,15832.0,19073.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_38,6,5791680.600000001,15832.0,19077.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_39,6,5791664.600000001,15832.0,19067.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_4,6,5792548.600000001,15832.0,19259.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_40,6,5791716.600000001,15832.0,19103.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_41,6,5791906.600000001,15832.0,19119.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_42,6,5792396.600000001,15832.0,19213.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_43,6,5791508.600000001,15832.0,19045.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_44,6,5792488.600000001,15832.0,19223.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_45,6,5791910.600000001,15832.0,19129.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_46,6,5792380.600000001,15832.0,19219.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_47,6,5792230.600000001,15832.0,19171.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_48,6,5791844.600000001,15832.0,19097.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_49,6,5791780.600000001,15832.0,19093.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_5,6,5791716.600000001,15832.0,19073.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_50,6,5791776.600000001,15832.0,19089.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_6,6,5791748.600000001,15832.0,19085.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_7,6,5792594.600000001,15832.0,19231.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_8,6,5791500.600000001,15832.0,19041.4,hd-ss s-ss ca-ss cd-ss d-ss
13a_9,6,5791708.600000001,15832.0,19091.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_1,6,5802570.600000001,15832.0,19876.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_10,6,5802788.600000001,15832.0,19896.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_11,6,5802894.600000001,15832.0,19940.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_12,6,5802346.600000001,15832.0,19828.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_13,6,5802526.600000001,15832.0,19878.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_14,6,5801216.600000001,15832.0,19670.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_15,6,5802166.600000001,15832.0,19804.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_16,6,5802166.600000001,15832.0,19826.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_17,6,5801622.600000001,15832.0,19728.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_18,6,5801554.600000001,15832.0,19722.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_19,6,5801626.600000001,15832.0,19732.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_2,6,5802280.600000001,15832.0,19834.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_20,6,5802014.600000001,15832.0,19784.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_21,6,5801752.600000001,15832.0,19746.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_22,6,5802646.600000001,15832.0,19902.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_23,6,5801688.600000001,15832.0,19734.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_24,6,5801810.600000001,15832.0,19754.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_25,6,5802428.600000001,15832.0,19864.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_26,6,5802532.600000001,15832.0,19886.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_27,6,5802364.600000001,15832.0,19844.4,hd-ss s-ss ca-ss cd-ss d-ss
