Query,Join_size,True,Psql_est,Compass_estPlan
10_39_4,3,220744.0,46316.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_39_5,4,220744.0,46316.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_4_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_4_1,2,122124.0,37703.0,-1,"['customer-c', 'orders-o']"
10_4_2,2,443782.0,44374.0,-1,"['lineitem-l', 'orders-o']"
10_4_3,3,122124.0,37703.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_4_4,3,443782.0,44374.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_4_5,4,443782.0,44374.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_40_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_40_1,2,65043.0,21886.0,-1,"['customer-c', 'orders-o']"
10_40_2,2,110522.0,25758.0,-1,"['lineitem-l', 'orders-o']"
10_40_3,3,65043.0,21886.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_40_4,3,110522.0,25758.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_40_5,4,110522.0,25758.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_41_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_41_1,2,122653.0,39520.0,-1,"['customer-c', 'orders-o']"
10_41_2,2,220744.0,46513.0,-1,"['lineitem-l', 'orders-o']"
10_41_3,3,122653.0,39520.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_41_4,3,220744.0,46513.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_41_5,4,220744.0,46513.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_42_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_42_1,2,123243.0,40970.0,-1,"['customer-c', 'orders-o']"
10_42_2,2,445930.0,48220.0,-1,"['lineitem-l', 'orders-o']"
10_42_3,3,123243.0,40970.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_42_4,3,445930.0,48220.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_42_5,4,445930.0,48220.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_43_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_43_1,2,65653.0,22051.0,-1,"['customer-c', 'orders-o']"
10_43_2,2,110522.0,25953.0,-1,"['lineitem-l', 'orders-o']"
10_43_3,3,65653.0,22051.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_43_4,3,110522.0,25953.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_43_5,4,110522.0,25953.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_44_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_44_1,2,66254.0,22186.0,-1,"['customer-c', 'orders-o']"
10_44_2,2,110522.0,26112.0,-1,"['lineitem-l', 'orders-o']"
10_44_3,3,66254.0,22186.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_44_4,3,110522.0,26112.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
