query,join_size,true,psql_est,compass_est,plan
48_2,2,2742670,1840394,2.71813e+06,"['movie_keyword-mk', 'title-t']"
48_3,3,22579666,9533520,2.19624e+07,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
48_4,3,27653388,16388705,2.59934e+07,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
48_5,3,8193781,6235457,5.25449e+06,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
48_6,4,625302823,84895995,1.05008e+09,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
49_0,2,511921,264451,519484,"['movie_companies-mc', 'title-t']"
49_1,2,5528038,2948288,5.1912e+06,"['movie_info-mi', 'title-t']"
49_2,2,5181,2185,5723.95,"['movie_keyword-mk', 'title-t']"
49_3,3,7153,5780,32356.5,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
49_4,3,169531,97675,1.71182e+06,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
49_5,3,7274879,7800217,2.01333e+07,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
49_6,4,333474,170475,4.07177e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
4_0,2,1334883,783864,1.31151e+06,"['movie_companies-mc', 'title-t']"
4_1,2,250,54,570.993,"['movie_info_idx-mi_idx', 'title-t']"
4_2,3,715,143,16972.3,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
50_0,2,381320,262797,398172,"['movie_companies-mc', 'title-t']"
50_1,2,4558886,2929851,4.44987e+06,"['movie_info-mi', 'title-t']"
50_2,2,2699,2171,3843.02,"['movie_keyword-mk', 'title-t']"
50_3,3,3411,5744,89027.8,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
50_4,3,95564,97064,916453,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
50_5,3,6872385,7751437,1.11395e+07,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
