query_name,plan_size,true_cost,compass_est,psql_est,plan
15a,9,709940.5999999996,630521.0434999996,549827.5999999996,ct-mc mi-mc mi-att cn-mc t-att it-mi t-mk k-mk
15b,9,693206.0,588305.2477056663,549817.5999999996,ct-mc cn-mc mc-att mi-mc t-att it-mi t-mk k-mk
15c,9,1373563.599999997,3018084.8399999756,1089378.3999999985,t-att t-mi it-mi t-mc cn-mc ct-mc t-mk k-mk
15d,9,1417734.1999999967,3836169.18399997,1089865.7999999982,t-att t-mi it-mi t-mc cn-mc ct-mc t-mk k-mk
16a,8,1193772.0,1118312091.1,295264.0,mk-k t-mk t-mc mc-cn ci-t n-ci an-n
16b,8,14543389.799999997,17429314158.0,1448162.4,mk-k t-mk ci-t n-ci an-n mc-cn t-mc
16c,8,2763234.0,8713940600.300001,295760.0,mk-k t-mk t-mc mc-cn ci-t n-ci an-n
16d,8,2401956.0,5176385098.1,295432.0,mk-k t-mk t-mc mc-cn ci-t n-ci an-n
17a,7,7778294.4,1545761125.4,299142.0,mk-k t-mk ci-t n-ci t-mc mc-cn
17b,7,5285457.2,259753530.60000002,298254.0,mk-k ci-mk n-ci ci-t t-mc mc-cn
17c,7,5064729.2,129084234.5,298254.0,mk-k ci-mk n-ci ci-t t-mc mc-cn
17d,7,5108375.2,115493328.60000001,298254.0,mk-k ci-mk n-ci ci-t t-mc mc-cn
17e,7,11173450.2,1115208046.4,1447593.4,mk-k t-mk ci-t n-ci mc-cn t-mc
17f,7,8469037.4,1266494445.4,299142.0,mk-k t-mk ci-t n-ci t-mc mc-cn
18a,7,3837899.1999999993,61613193.300000004,3538175.1999999993,it1-mi mi-mi_idx it2-mi_idx ci-mi n-ci t-mi
18b,7,286320.59999999776,1528223.559999998,276209.59999999776,it2-mi_idx mi-mi_idx ci-mi n-ci t-mi it1-mi
18c,7,2062018.1999999979,24396897.799999997,307575.19999999774,it2-mi_idx mi-mi_idx ci-mi n-ci it1-mi t-mi
19a,10,1921999.8000000007,611844737.99,1915161.8000000003,n-an n-ci t-ci t-mc rt-ci cn-mc chn-ci t-mi it-mi
19b,10,1335353.6,1250077.3858200002,867928.2000000002,cn-mc t-mc t-mi t-ci rt-ci n-ci it-mi chn-ci n-an
19c,10,2002740.8000000003,143575966528.18,1920119.4000000004,n-an n-ci t-ci t-mc chn-ci cn-mc t-mi it-mi rt-ci
19d,10,13343918.999999993,96182195097.99997,4116255.8000000035,n-an ci-an t-ci t-mi cn-mc it-mi rt-ci chn-ci t-mc
20a,10,562209.2000000004,432655.58871866803,27361.399999999907,cct2-cc t-cc kt-t t-ci chn-ci cct1-cc n-ci t-mk k-mk
20b,10,336080.2,17033693.45164022,142554.0,cct1-cc t-cc t-ci t-mk k-mk chn-ci n-ci kt-t cct2-cc
20c,10,1353212.1999999986,824001.930752084,27420.0,cct2-cc t-cc t-mk k-mk kt-t cct1-cc t-ci chn-ci n-ci
21a,9,39940.8,131237.97405390002,6195.0,lt-ml ml-mc ml-mk mk-k mc-cn ml-t mc-ct mi-t
21b,9,24630.8,919510.4365346993,6115.0,lt-ml ml-t mi-t mk-mi mk-k t-mc mc-cn mc-ct
21c,9,71061.79999999981,96456.89902418647,6134.799999999814,lt-ml ml-mc mc-ct mc-cn ml-mk mk-k ml-t mi-t
22a,11,325530.5999999996,326989.44338579965,276427.5999999996,it2-mi_idx t-mi_idx t-mi t-mk t-mc cn-mc k-mk kt-t it1-mi ct-mc
22b,11,322454.5999999996,400463.92986221664,276419.5999999996,it2-mi_idx t-mi_idx t-mc t-mk k-mk kt-t t-mi it1-mi ct-mc cn-mc
22c,11,286586.3999999996,1201812.2612060995,276202.5999999996,it2-mi_idx t-mi_idx t-mi t-mc t-mk cn-mc k-mk it1-mi kt-t ct-mc
22d,11,289611.79999999964,295627.3772824458,276202.5999999996,it2-mi_idx t-mi_idx t-mi t-mk k-mk kt-t it1-mi t-mc cn-mc ct-mc
23a,11,103336.79999999981,432907.0006848053,28952.0,cct-cc mi-cc t-mi it-mi kt-t t-mc ct-mc cn-mc t-mk k-mk
23b,11,102338.80000000072,436206.58410376066,28958.799999999814,cct-cc mi-cc mi-mc mk-mi ct-mc k-mk it-mi t-mi kt-t cn-mc
23c,11,103385.79999999981,432704.04298445984,28952.0,cct-cc mi-cc t-mi it-mi kt-t t-mc ct-mc cn-mc t-mk k-mk
24a,12,1110911.9999999995,1558349.9116,1066001.0,k-mk t-mk t-mi it-mi mi-ci rt-ci n-ci chn-ci t-mc cn-mc n-an
24b,12,805244.5999999988,813994.1513524944,803858.1999999988,cn-mc t-mc t-ci ci-mk ci-an rt-ci t-mi k-mk n-ci it-mi chn-ci
25a,9,1341460.2000000002,1533508.011299999,1066119.0,k-mk mi-mk ci-mi it1-mi n-ci ci-mi_idx it2-mi_idx t-mi
25b,9,1252203.9999999995,1257749.4266000004,1066099.0,k-mk t-mk t-ci t-mi_idx it2-mi_idx t-mi n-ci it1-mi
25c,9,1765159.2000000002,2092196.169000012,1066765.6,k-mk ci-mk ci-mi it1-mi n-ci ci-mi_idx it2-mi_idx t-mi
26a,12,343605.59999999404,574856230.7657288,276473.59999999404,it-mi_idx cc-mi_idx t-cc t-mk k-mk t-ci kt-t chn-ci cct1-cc n-ci cct2-cc
26b,12,291521.99999999255,432330.892345652,28958.0,cct1-cc cc-mi_idx it-mi_idx t-cc t-mk k-mk kt-t cct2-cc t-ci chn-ci n-ci
26c,12,1262930.799999997,504636.5422893228,29584.0,cct1-cc t-cc t-mi_idx t-mk cct2-cc k-mk it-mi_idx kt-t t-ci chn-ci n-ci
