query_name,plan_size,true_cost,compass_est_cost,psql_est_cost,plan
28c,14,481591.19999999995,162232.55124053155,27693.8,cc-cct1 cc-cct2 cc-mc cc-mi cc-mk cc-mi_idx cn-mc cc-t it1-mi ct-mc it2-mi_idx k-mk kt-t
30a,12,2712546.0,186607.71574800002,27709.8,cc-cct2 cc-cct1 cc-ci cc-mi cc-mi_idx cc-mk ci-n it1-mi cc-t it2-mi_idx k-mk
30b,12,2800332.0,166600.81345455913,27701.8,cc-cct2 cc-cct1 cc-ci cc-mi cc-mi_idx cc-mk ci-n cc-t it1-mi it2-mi_idx k-mk
30c,12,6171285.399999999,214735.35835999995,27691.8,cc-cct1 cc-cct2 cc-ci cc-mi cc-mi_idx cc-t ci-n cc-mk it1-mi it2-mi_idx k-mk
31a,11,2338462.6,70309555.2646,297881.2,it2-mi_idx mi-mi_idx it1-mi ci-mi ci-n ci-t ci-mc cn-mc ci-mk k-mk
31b,11,1998199.2000000002,21385032.445769995,297992.60000000003,it2-mi_idx mc-mi_idx ci-mc ci-mk ci-mi ci-n ci-t cn-mc it1-mi k-mk
31c,11,3564825.6,271158043.99200004,297988.2,it2-mi_idx mi-mi_idx it1-mi ci-mi ci-n ci-t ci-mc cn-mc ci-mk k-mk
33a,14,120288.0,442223705.091961,6122.4,lt-ml ml-t1 kt1-t1 mc1-ml cn1-mc1 mc1-mi_idx1 mc2-ml cn2-mc2 it1-mi_idx1 mc2-t2 kt2-t2 mc2-mi_idx2 it2-mi_idx2
33b,14,347161.39999999997,37630777.92132,6122.4,lt-ml ml-t1 kt1-t1 mc1-ml mc1-mi_idx1 cn1-mc1 mc2-ml it1-mi_idx1 cn2-mc2 mc2-mi_idx2 it2-mi_idx2 mc2-t2 kt2-t2
33c,14,117416.0,2000099.1156199998,6122.4,lt-ml ml-t1 kt1-t1 mc1-ml cn1-mc1 mc1-mi_idx1 it1-mi_idx1 mc2-ml cn2-mc2 mc2-mi_idx2 it2-mi_idx2 mc2-t2 kt2-t2
29a,17,7182213.6,162234.0011396184,27701.8,cc-cct1 cc-cct2 cc-ci cc-mi cc-t an-ci an-n cc-mc cc-mk chn-ci ci-pi ci-rt cn-mc it1-mi it2-pi k-mk
