query_name,plan_size,true_cost,compass_est,psql_est,plan
11b,8,17094.800000000047,96025.20052291897,6128.799999999988,lt-ml ml-mc mc-ct ml-t ml-mk mk-k mc-cn
11c,8,2239057.1999999993,96026.48120324219,403050.2000000002,lt-ml ml-mc mc-ct mc-cn ml-mk mk-k ml-t
11d,8,785744.7999999998,96137.03044790092,280427.7999999998,lt-ml ml-mc mc-ct ml-mk mk-k ml-t mc-cn
12a,8,323835.9999999994,8192.269319999936,460.3999999994412,mi_idx-it2 mc-mi_idx ct-mc mc-mi mi-it1 t-mi cn-mc
12b,8,4783973.6000000015,2227350.8100000015,1370750.0,cn-mc ct-mc t-mc t-mi_idx mi_idx-it2 t-mi mi-it1
12c,8,457686.9999999994,31211.5515999997,1047.3999999994417,mi_idx-it2 mc-mi_idx ct-mc mc-mi mi-it1 t-mi cn-mc
13a,9,2467423.6000000015,1019226.5042719997,869173.9999999997,cn-mc ct-mc mi_idx-mc it1-mi_idx mc-t kt-t mi-t it2-mi
13b,9,516700.8000000059,533897.2298650956,505688.799999997,kt-t mi_idx-t it1-mi_idx mi_idx-mc ct-mc mi-t it2-mi cn-mc
13c,9,508458.80000000575,517888.8072786107,505688.799999997,kt-t mi_idx-t it1-mi_idx mi_idx-mc ct-mc mi-mi_idx it2-mi cn-mc
13d,9,12478456.599999998,2219459.083664999,1363845.4,cn-mc ct-mc mc-t kt-t mi_idx-t it1-mi_idx mi-t it2-mi
14a,8,283123.99999999953,280436.0295099995,276190.5999999996,it2-mi_idx t-mi_idx kt-t t-mi it1-mi t-mk k-mk
14b,8,313652.0,297130.64652599883,276341.5999999996,it2-mi_idx t-mi_idx kt-t mi-mi_idx it1-mi t-mk k-mk
14c,8,308663.6,280656.4468262995,276194.0,it2-mi_idx t-mi_idx kt-t mi-mi_idx it1-mi t-mk k-mk
15a,9,710637.1999999993,616080.6665080002,549823.5999999996,ct-mc mi-mc it-mi mi-att t-att cn-mc t-mk k-mk
15b,9,693588.0,588304.9421648625,549817.5999999995,ct-mc cn-mc mi-mc it-mi t-mi t-att t-mk k-mk
15c,9,3413159.1999999993,1103593.3755099983,795415.8000000035,mi-att it-mi mi-mc ct-mc t-att cn-mc t-mk k-mk
15d,9,3463110.8000000007,1059259.6410900028,796887.8000000035,mi-att it-mi mi-mc ct-mc t-att cn-mc t-mk k-mk
16a,8,5969932.999999997,714804940.5,3888851.2000000007,an-n mk-k t-mk ci-t mc-cn t-mc n-ci
16b,8,17326704.0,17052588925.0,4992656.199999999,an-n mk-k mc-cn t-mc ci-mk n-ci ci-t
16c,8,12874354.399999999,7377498997.0,4992656.200000001,an-n mk-k mc-cn t-mc ci-mk n-ci ci-t
16d,8,12640669.399999999,2747355373.0,4992678.200000001,an-n mk-k mc-cn t-mc ci-mk n-ci ci-t
